"time","C_termica","Energia_consumida"
0,15000,0
266.2478609860882,15000,0
266.2478609860882,15000,0
308.0058147487904,15000,0
308.0058147487904,15000,0
308.0058147830033,15000,1.642219646105928e-5
308.0058147830033,15000,1.642219646105928e-5
365.3781258528554,15000,27538.709329951234
365.3781258528554,15000,27538.709329951234
365.3781259268675,15000,27538.709329951234
365.3781259268675,15000,27538.709329951234
378.1948363771688,15000,27538.709329951234
378.1948363771688,15000,27538.709329951234
956.4421938837929,15000,27538.709329951234
956.4421938837929,15000,27538.709329951234
956.4421939163178,15000,27538.709345563195
956.4421939163178,15000,27538.709345563195
1011.1256568049414,15000,53786.77153210247
1011.1256568049414,15000,53786.77153210247
1011.1256569115747,15000,53786.77153210247
1011.1256569115747,15000,53786.77153210247
1209.6,15000,53786.77153210247
1607.4994819182853,15000,53786.77153210247
1607.4994819182853,15000,53786.77153210247
1607.4994819506717,15000,53786.771547647986
1607.4994819506717,15000,53786.771547647986
1661.926972867692,15000,79911.96718781776
1661.926972867692,15000,79911.96718781776
1661.926972979654,15000,79911.96718781776
1661.926972979654,15000,79911.96718781776
2312.6588035528957,15000,79911.96718781776
2312.6588035528957,15000,79911.96718781776
2312.658803585032,15000,79911.96720324318
2312.658803585032,15000,79911.96720324318
2366.650478176398,15000,105827.97100709907
2366.650478176398,15000,105827.97100709907
2366.6504782986985,15000,105827.97100709907
2366.6504782986985,15000,105827.97100709907
2419.2,15000,105827.97100709907
3047.965394171454,15000,105827.97100709907
3047.965394171454,15000,105827.97100709907
3047.965394203662,15000,105827.97102255884
3047.965394203662,15000,105827.97102255884
3102.066712188734,15000,131796.6036553934
3102.066712188734,15000,131796.6036553934
3102.0667123073417,15000,131796.6036553934
3102.0667123073417,15000,131796.6036553934
3628.8,15000,131796.6036553934
3723.036920378309,15000,131796.6036553934
3723.036920378309,15000,131796.6036553934
3723.036920410872,15000,131796.60367102365
3723.036920410872,15000,131796.60367102365
3777.7514125806474,15000,158059.55991251572
3777.7514125806474,15000,158059.55991251572
3777.7514126867054,15000,158059.55991251572
3777.7514126867054,15000,158059.55991251572
4331.78463079555,15000,158059.55991251572
4331.78463079555,15000,158059.55991251572
4331.784630828392,15000,158059.55992828013
4331.784630828392,15000,158059.55992828013
4386.941558806002,15000,184534.88535753218
4386.941558806002,15000,184534.88535753218
4386.941558904736,15000,184534.88535753218
4386.941558904736,15000,184534.88535753218
4838.4,15000,184534.88535753218
4921.398674301787,15000,184534.88535753218
4921.398674301787,15000,184534.88535753218
4921.398674334565,15000,184534.88537326577
4921.398674334565,15000,184534.88537326577
4976.504999867211,15000,210985.92162893628
4976.504999867211,15000,210985.92162893628
4976.504999967239,15000,210985.92162893628
4976.504999967239,15000,210985.92162893628
5537.993591224903,15000,210985.92162893628
5537.993591224903,15000,210985.92162893628
5537.993591257477,15000,210985.9216445722
5537.993591257477,15000,210985.9216445722
5592.684878598941,15000,237237.7395684751
5592.684878598941,15000,237237.7395684751
5592.684878706124,15000,237237.7395684751
5592.684878706124,15000,237237.7395684751
5706.093257472322,15000,237237.7395684751
5706.093257472322,15000,237237.7395684751
5885.412357186289,15000,237237.7395684751
5885.412357186289,15000,237237.7395684751
6048,15000,237237.7395684751
6078.468506072822,15000,237237.7395684751
